1,7,University of California,16,Bachelors of Applied Mathematics,0402,Computer Science,Salesforce.com Inc / Data.com,San Mateo,CA,Member of Technical Staff
1,7,University of California,16,Bachelors of Applied Mathematics,0402,Computer Science,iSkoot Inc,San Francisco,CA,Senior Software Engineer
1,7,University of California,16,Bachelors of Applied Mathematics,0402,Computer Science,Microsoft Corp / Danger Inc,Palo Alto,CA,Software Development Engineer II
1,7,University of California,16,Bachelors of Applied Mathematics,0402,Computer Science,AOL Inc,Mountain View,CA,Senior Software Engineer
1,7,University of California,16,Bachelors of Applied Mathematics,0402,Computer Science,The Critical Thinking Co,Seaside,CA,Software Engineer
1,7,University of California,16,Bachelors of Applied Mathematics,0402,Computer Science,Schlumberger / CellNet,San Carlos,CA,Software Engineer
10013,7,Columbia University,18,Master of Public Administration,0502,Environmental Science and Policy,"Human First, Inc",Lynbrook,NY,Communications Assistant
10013,7,Columbia University,18,Master of Public Administration,0502,Environmental Science and Policy,CR,Stamford,CT,Materiality Research Intern
10013,7,Columbia University,18,Master of Public Administration,0502,Environmental Science and Policy,CRD Analytics,New York,NY,Sustainability Reporting Intern
10013,7,Columbia University,18,Master of Public Administration,0502,Environmental Science and Policy,The Nature Conservancy,New York,NY,Graduate Student Consultant
10013,7,Columbia University,18,Master of Public Administration,0502,Environmental Science and Policy,"Banfield, the Pet Hospital",Levittown,NY,Veterinary Assistant
10013,7,Columbia University,18,Master of Public Administration,0502,Environmental Science and Policy,Loyola College,Baltimore,MD,Student Recycling Coordinator
10013,8,Loyola College,16,Bachelor of Arts,2016,Psychology,"Human First, Inc",Lynbrook,NY,Communications Assistant
10013,8,Loyola College,16,Bachelor of Arts,2016,Psychology,CR,Stamford,CT,Materiality Research Intern
10013,8,Loyola College,16,Bachelor of Arts,2016,Psychology,CRD Analytics,New York,NY,Sustainability Reporting Intern
10013,8,Loyola College,16,Bachelor of Arts,2016,Psychology,The Nature Conservancy,New York,NY,Graduate Student Consultant
